NCBI.id	ENSG.id	name	pDI	pHaplo	pTriplo	list.count	list.name
64766	ENSG00000116497	S100PBP	0.57451264	0.884208854265761	0.561154685043792	1	UKBB.PL.MC
10079	ENSG00000054793	ATP9A	0.41360034	0.972636971752786	0.599347644953626	1	UKBB.PL.MC
3745	ENSG00000158445	KCNB1	0.99613824	0.985891532084569	0.999976886046988	1	UKBB.PL.MC
9575	ENSG00000134852	CLOCK	0.94856743	0.832144249604569	0.655656482640621	1	UKBB.PL.MC
121260	ENSG00000139370	SLC15A4	0.16802263	0.793509035093165	0.0631434352050544	1	UKBB.PL.MC
642987	ENSG00000186952	TMEM232	0.07499712	0.0918274851345922	0.141380367671513	1	UKBB.PL.MC
2262	ENSG00000179399	GPC5	0.25099929	0.482519664396256	0.063674754041438	1	UKBB.PL.MC
9749	ENSG00000112419	PHACTR2	0.07804884	0.920606373637004	0.452159867521549	1	UKBB.PL.MC
8165	ENSG00000121057	AKAP1	0.60801123	0.867116050217675	0.686719882548773	1	UKBB.PL.MC
9712	ENSG00000148429	USP6NL	0.13776433	0.946997865245746	0.194467226035159	1	UKBB.PL.MC
50937	ENSG00000064309	CDON	0.18280667	0.780446247539263	0.336566726054254	1	UKBB.PL.MC
3643	ENSG00000171105	INSR	0.9974607	0.911077042743976	0.879444249069633	1	UKBB.PL.MC
6538	ENSG00000132164	SLC6A11	0.3881454	0.765013948422896	0.439521475926404	1	UKBB.PL.MC
55959	ENSG00000196562	SULF2	0.4585016	0.873160683473609	0.448872554799373	1	UKBB.PL.MC
253738	ENSG00000108001	EBF3	0.99349732	0.999647366192163	0.996252921846355	1	UKBB.PL.MC
100616668	NA	TPTE2P5	NA	NA	NA	1	UKBB.PL.MC
5205	ENSG00000081923	ATP8B1	0.08751584	0.892177419896765	0.990624618071098	1	UKBB.PL.MC
10166	ENSG00000102743	SLC25A15	0.07772647	0.282286884549196	0.269259104753226	1	UKBB.PL.MC
93492	ENSG00000132958	TPTE2	0.13773795	0.0251117333172301	0.173985419770297	1	UKBB.PL.MC
90806	ENSG00000174606	ANGEL2	0.08583796	0.53514616274487	0.371498172003372	1	UKBB.PL.MC
124220	ENSG00000283056	ZG16B	0.14477327	0.265065675366362	0.277279643512145	1	UKBB.PL.MC
91523	ENSG00000179715	PCED1B	0.11838978	0.185483645645179	0.443608628089123	1	UKBB.PL.MC
161291	ENSG00000182107	TMEM30B	0.14366392	0.444071037448949	0.395777401382706	1	UKBB.PL.MC
4756	ENSG00000067141	NEO1	0.56246599	0.773026645060203	0.678664160640521	1	UKBB.PL.MC
23041	ENSG00000061987	MON2	0.76237391	0.932461113210076	0.743703318214939	1	UKBB.PL.MC
51693	ENSG00000167515	TRAPPC2L	0.07460405	0.322572742667828	0.215859873627554	1	UKBB.PL.MC
57553	ENSG00000243156	MICAL3	0.20959808	0.866912892607738	0.99966645533359	1	UKBB.PL.MC
9980	ENSG00000142197	DOP1B	0.07188057	0.775842555050946	0.136571720907009	1	UKBB.PL.MC
114327	ENSG00000096093	EFHC1	0.17083773	0.333769183181069	0.388223075090744	1	UKBB.PL.MC
9312	ENSG00000182674	KCNB2	0.94067412	0.874879154248638	0.957419870975518	1	UKBB.PL.MC
9217	ENSG00000124164	VAPB	0.62644072	0.891820918769972	0.792352935281948	1	UKBB.PL.MC
9218	ENSG00000101558	VAPA	0.51676555	0.843334939342498	0.464201780301533	1	UKBB.PL.MC
8514	ENSG00000069424	KCNAB2	0.77399318	0.91510322184006	0.45728800015103	1	UKBB.PL.MC
7881	ENSG00000169282	KCNAB1	0.1017814	0.733081619931439	0.831652040075451	1	UKBB.PL.MC
2197	ENSG00000149806	FAU	0.9983265	0.258966397481866	0.432818186554807	1	UKBB.PL.MC
3737	ENSG00000177301	KCNA2	0.9940872	0.829071073819844	0.999919298438961	1	UKBB.PL.MC
3790	ENSG00000170745	KCNS3	0.2431207	0.641718463474831	0.477898715364752	1	UKBB.PL.MC
2033	ENSG00000100393	EP300	0.9998311	0.999119695512303	0.998635203336522	1	UKBB.PL.MC
23411	ENSG00000096717	SIRT1	0.99962713	0.799629519574546	0.914152958866658	1	UKBB.PL.MC
56938	ENSG00000029153	ARNTL2	0.05033147	0.298288429153284	0.425375980097559	1	UKBB.PL.MC
4862	ENSG00000170485	NPAS2	0.9866222	0.863612473058167	0.537583699881856	1	UKBB.PL.MC
1408	ENSG00000121671	CRY2	0.89567637	0.455205335173379	0.716153316941351	1	UKBB.PL.MC
406	ENSG00000133794	ARNTL	0.9987081	0.994282179967701	0.990959634024189	1	UKBB.PL.MC
1454	ENSG00000213923	CSNK1E	0.99987842	0.836782402553925	0.997539264018907	1	UKBB.PL.MC
8864	ENSG00000132326	PER2	0.3844319	0.955822020819103	0.806718219561247	1	UKBB.PL.MC
5927	ENSG00000073614	KDM5A	NA	NA	NA	1	UKBB.PL.MC
64127	ENSG00000167207	NOD2	0.38979414	0.200592528042473	0.277301980301641	1	UKBB.PL.MC
6520	ENSG00000168003	SLC3A2	0.8089361	0.200258216771892	0.325210178724554	1	UKBB.PL.MC
6545	ENSG00000099960	SLC7A4	0.10425217	0.20242142846293	0.34245955667174	1	UKBB.PL.MC
65220	ENSG00000008130	NADK	0.08775768	0.38990184751562	0.757006280621599	1	UKBB.PL.MC
57571	ENSG00000172508	CARNS1	0.07218971	0.281363742066201	0.664482633552437	1	UKBB.PL.MC
3663	ENSG00000128604	IRF5	0.5391532	0.544326864664474	0.664847237261924	1	UKBB.PL.MC
6574	ENSG00000144136	SLC20A1	0.51492178	0.408402942614163	0.616581770901796	1	UKBB.PL.MC
80231	ENSG00000120280	CXorf21	NA	NA	NA	1	UKBB.PL.MC
6144	ENSG00000122026	RPL21	0.98970184	0.790955625032271	0.364653836931341	1	UKBB.PL.MC
51253	ENSG00000116221	MRPL2	NA	NA	NA	1	UKBB.PL.MC
9820	ENSG00000044090	CUL7	0.12202672	0.351170903332672	0.816682788948571	1	UKBB.PL.MC
26496	ENSG00000281680	OR10A3	0.18767119	0.059096510079039	0.0972612099347352	1	UKBB.PL.MC
56946	ENSG00000158636	EMSY	0.84153029	0.967673062233205	0.867392625507953	1	UKBB.PL.MC
57128	ENSG00000214113	LYRM4	0.08895169	0.769029278272769	0.157428089693905	1	UKBB.PL.MC
5897	ENSG00000175097	RAG2	0.17617735	0.235299412330673	0.117058471012582	1	UKBB.PL.MC
9672	ENSG00000162512	SDC3	0.78655867	0.623058547640153	0.654622123465124	1	UKBB.PL.MC
10082	ENSG00000183098	GPC6	0.67240263	0.747841119952532	0.218999061983582	1	UKBB.PL.MC
6383	ENSG00000169439	SDC2	0.99689779	0.845760401870364	0.555385859894289	1	UKBB.PL.MC
6382	ENSG00000115884	SDC1	0.60480757	0.871843149246948	0.368534657833385	1	UKBB.PL.MC
3339	ENSG00000142798	HSPG2	0.45465697	0.740859009311106	0.574950874429259	1	UKBB.PL.MC
6469	ENSG00000164690	SHH	0.99982298	0.998589550787969	0.999999361989936	1	UKBB.PL.MC
137970	ENSG00000156687	UNC5D	0.82810421	0.88604917170359	0.487780579910815	1	UKBB.PL.MC
29766	ENSG00000138594	TMOD3	0.07488526	0.385199028721703	0.252038673195866	1	UKBB.PL.MC
60	ENSG00000075624	ACTB	0.99993014	0.922109437409145	0.988409553027481	1	UKBB.PL.MC
10210	ENSG00000197579	TOPORS	0.69596099	0.938944862964104	0.734887861270109	1	UKBB.PL.MC
5501	ENSG00000186298	PPP1CC	0.99953741	0.954184232099128	0.994271560094645	1	UKBB.PL.MC
441027	ENSG00000249242	TMEM150C	0.08062274	0.243753042813958	0.390837119940702	1	UKBB.PL.MC
10411	ENSG00000079337	RAPGEF3	0.3604008	0.375051486052497	0.481069722510145	1	UKBB.PL.MC
5141	ENSG00000065989	PDE4A	0.97892814	0.920122872602406	0.830709212537803	1	UKBB.PL.MC
9495	ENSG00000179841	AKAP5	0.99102352	0.194794813781424	0.239162231243867	1	UKBB.PL.MC
5577	ENSG00000005249	PRKAR2B	0.99913187	0.84283366506655	0.962803225381676	1	UKBB.PL.MC
5568	ENSG00000165059	PRKACG	0.90901823	0.255721471683203	0.196859283899571	2	UKBB.PL.MC,SIP
5567	ENSG00000142875	PRKACB	0.99819044	0.224193119954661	0.68780960455633	2	UKBB.PL.MC,SIP
5578	ENSG00000154229	PRKACA	NA	NA	NA	2	UKBB.PL.MC,SIP
26292	ENSG00000214114	MYCBP	0.27318748	0.701794359920747	0.776829908968927	1	UKBB.PL.MC
9472	ENSG00000151320	AKAP6	0.95594652	0.870527503160793	0.767215672238252	1	UKBB.PL.MC
6654	ENSG00000115904	SOS1	0.99981585	0.991796985507719	0.999052672215321	1	UKBB.PL.MC
2059	ENSG00000151491	EPS8	0.70713173	0.961476158637693	0.731591558342534	1	UKBB.PL.MC
5868	ENSG00000144566	RAB5A	0.99800124	0.917464669950971	0.453607638982389	1	UKBB.PL.MC
10006	ENSG00000136754	ABI1	0.96196751	0.878129397181244	0.767812126363478	1	UKBB.PL.MC
2885	ENSG00000177885	GRB2	0.99951014	0.739947686948802	0.689274590933927	1	UKBB.PL.MC
79746	ENSG00000134463	ECHDC3	0.06173703	0.7501196527416	0.403297889814121	1	UKBB.PL.MC
7200	ENSG00000170893	TRH	0.19019896	0.363812760266897	0.270281250429528	1	UKBB.PL.MC
339122	ENSG00000172780	RAB43	0.5209141	0.358678659256992	0.840172233256855	1	UKBB.PL.MC
2619	ENSG00000180447	GAS1	0.97240798	0.798355850741432	0.424921690858377	1	UKBB.PL.MC
91653	ENSG00000144857	BOC	0.42951189	0.845958817077824	0.381597460514425	1	UKBB.PL.MC
1013	ENSG00000129910	CDH15	0.33873944	0.547658848881354	0.0827159041492319	1	UKBB.PL.MC
4036	ENSG00000081479	LRP2	0.93186609	0.963963005467645	0.627987189180131	1	UKBB.PL.MC
8643	ENSG00000117425	PTCH2	0.73163773	0.160267160706822	0.383717184372249	1	UKBB.PL.MC
5727	ENSG00000185920	PTCH1	0.99792352	0.997986514428614	0.961828874603461	1	UKBB.PL.MC
50846	ENSG00000139549	DHH	0.99573392	0.59608577421515	0.902020272465285	1	UKBB.PL.MC
3549	ENSG00000163501	IHH	0.99660476	0.941280314741284	0.875833014397634	1	UKBB.PL.MC
5770	ENSG00000196396	PTPN1	0.98982174	0.902207262099624	0.964546476969047	1	UKBB.PL.MC
3630	ENSG00000254647	INS	0.89250532	0.789761434314605	0.731877274004409	1	UKBB.PL.MC
3667	ENSG00000169047	IRS1	0.97827865	0.80825215345629	0.255960208096989	1	UKBB.PL.MC
3479	ENSG00000017427	IGF1	0.93536781	0.874142848009153	0.731545008663174	1	UKBB.PL.MC
3480	ENSG00000140443	IGF1R	0.99854392	0.999150928807354	0.818415891590373	1	UKBB.PL.MC
6464	ENSG00000160691	SHC1	0.87633049	0.346348757685272	0.7991076763326	1	UKBB.PL.MC
